word,lemma,pos,metaphor_score,context
burns,burn,NOUN,0.9996671676635742,"My belief in Britain burns brighter than ever , and"
brighter,brighter,ADV,0.9983455538749696,"My belief in Britain burns brighter than ever , and the"
prize,prize,NOUN,0.996308207511902,"than ever , and the prize on offer is immense ."
change,change,VERB,0.9976741671562196,"Minister said on Monday , change must be felt : more"
felt,feel,VERB,0.9988105297088624,"Monday , change must be felt : more pounds in people"
growing,grow,VERB,0.9965900778770448,"and an economy that is growing , creating wealth and opportunity"
drive,drive,VERB,0.999662220478058,. The only way to drive economic growth is to invest
shortcuts,shortcut,VERB,0.9930362701416016,"invest . There are no shortcuts , and , to deliver"
restore,restore,VERB,0.9951011538505554,"that investment , we must restore economic stability and turn the"
page,page,NOUN,0.9996675252914428,economic stability and turn the page on the last 14 years
fallen,fall,VERB,0.9975647926330566,first time that it has fallen to the Labour party to
rubble,rubble,NOUN,0.9944528937339784,our country out of the rubble of the second world war
white,white,ADJ,0.9996115565299988,"that rebuilt Britain with the white heat of technology , and"
heat,heat,NOUN,0.9988527297973632,"rebuilt Britain with the white heat of technology , and ,"
falls,fall,VERB,0.991295337677002,"hospitals . Today , it falls to this Labour party —"
delivered,deliver,VERB,0.9979146718978882,"than 14 years to be delivered by a Labour Chancellor ,"
delivered,deliver,VERB,0.9983294010162354,’ s history to be delivered by a woman . I
ceiling,ceiling,NOUN,0.9994819164276124,": let there be no ceiling on your ambition , your"
feel,feel,VERB,0.9946421980857848,"with the pride that I feel standing here today , there"
pass,pass,VERB,0.9926131963729858,is also a responsibility to pass on a fairer society and
stronger,strong,ADJ,0.9996089339256288,a fairer society and a stronger economy to the next generation
exposed,expose,VERB,0.999019980430603,". In July , I exposed a £ 22 billion black"
black,black,ADJ,0.9948091506958008,exposed a £ 22 billion black hole at the heart of
hole,hole,NOUN,0.9991008043289183,a £ 22 billion black hole at the heart of the
heart,heart,NOUN,0.9997119903564452,billion black hole at the heart of the previous Government ’
line,line,NOUN,0.9909939169883728,the Government are publishing a line - by - line breakdown
black,black,ADJ,0.9923059344291688,"of the £ 22 billion black hole that we inherited ,"
hole,hole,NOUN,0.9993732571601868,"the £ 22 billion black hole that we inherited , which"
pressures,pressure,NOUN,0.9976816773414612,which shows hundreds of unfunded pressures on the public finances this
cuts,cut,NOUN,0.998471975326538,10 billion - worth of cuts to national insurance . It
height,height,NOUN,0.9989746809005736,"insurance . It was the height of irresponsibility , and they"
run,run,VERB,0.9978212714195251,"knew it . They had run out of road , and"
road,road,NOUN,0.9985441565513612,"They had run out of road , and they called an"
avoid,avoid,VERB,0.996019721031189,they called an election to avoid making difficult choices . So
loose,loose,ADJ,0.9993056058883668,Government to play fast and loose with the public finances and
hide,hide,VERB,0.9932048916816713,we allow a Government to hide the true state of our
inherited,inherit,VERB,0.9977232813835144,The country has inherited not just broken public finances
broken,break,VERB,0.9993401765823364,"country has inherited not just broken public finances , but broken"
broken,break,VERB,0.9991121888160706,"broken public finances , but broken public services . The British"
feel,feel,VERB,0.999747633934021,British people can see and feel that in their everyday lives
inheritance,inheritance,NOUN,0.9961649775505066,is the country ’ s inheritance from the Conservative Government .
footing,foot,VERB,0.9990755915641784,public finances on a sustainable footing — quite the opposite .
pain,pain,NOUN,0.9997367262840272,is long overdue for the pain and injustice that they have
campaign,campaign,NOUN,0.9991998076438904,The leadership campaign for the Conservative party has
scale,scale,NOUN,0.9992819428443908,country once again . The scale and seriousness of the situation
situation,situation,NOUN,0.993337869644165,scale and seriousness of the situation that we have inherited cannot
inherited,inherit,VERB,0.9938952922821044,the situation that we have inherited cannot be underestimated . Together
hole,hole,NOUN,0.99981951713562,"underestimated . Together , the hole in our public finances this"
assess,assess,VERB,0.9986022114753724,", and their failure to assess the scale of the challenges"
scale,scale,NOUN,0.9994907379150392,their failure to assess the scale of the challenges facing our
