word_id_in_chunk,word,pred_label,pred_id,is_metaphor,metaphor_score,context,corpus,chunk_id,global_word_id,is_punct,lemma,pos
3,holders,LABEL_0,0,1,0.9980014562606812,"Unlike the last holders of this office , this",healthcare,1,36,False,holder,NOUN
18,faces,LABEL_0,0,1,0.999460518360138,about the problems the NHS faces and serious about fixing them,healthcare,1,51,False,face,VERB
22,fixing,LABEL_0,0,1,0.9962786436080932,NHS faces and serious about fixing them . That is why,healthcare,1,55,False,fix,VERB
38,served,LABEL_0,0,1,0.9954146146774292,an eminent cancer surgeon who served both Labour and Conservative -,healthcare,1,71,False,serve,VERB
72,join,LABEL_0,0,1,0.997287392616272,whole House will want to join me in thanking him for,healthcare,1,105,False,join,VERB
7,hard,LABEL_0,0,1,0.9997074007987976,"Lord Darzi that we wanted hard truths , warts and all",healthcare,2,139,False,hard,ADJ
10,warts,LABEL_0,0,1,0.9951740503311156,"we wanted hard truths , warts and all . His findings",healthcare,2,142,False,wart,NOUN
17,raw,LABEL_0,0,1,0.9993123412132264,"all . His findings are raw , honest and breathtaking .",healthcare,2,149,False,raw,ADJ
17,shocked,LABEL_0,0,1,0.9945189952850342,"years , I have been shocked by what I have found",healthcare,3,175,False,shock,VERB
76,reverse,LABEL_0,0,1,0.9954063296318054,cardiovascular disease is going into reverse ; and cancer is more,healthcare,4,259,False,reverse,VERB
138,piling,LABEL_0,0,1,0.999241590499878,in life . That is piling pressure on to the NHS,healthcare,4,321,False,pile,VERB
139,pressure,LABEL_0,0,1,0.993476629257202,life . That is piling pressure on to the NHS and,healthcare,4,322,False,pressure,NOUN
5,symptoms,LABEL_0,0,1,0.9924201369285583,Those are some of the symptoms ; the report is equally,healthcare,5,338,False,symptom,NOUN
32,sector,LABEL_0,0,1,0.9905073046684264,"15 years behind the private sector on technology , with fewer",healthcare,5,365,False,sector,NOUN
20,assessment,LABEL_0,0,1,0.9979705214500428,. Lord Darzi ’ s assessment is damning :,healthcare,6,435,False,assessment,NOUN
11,scorched,LABEL_0,0,1,0.9994063377380372,… it took a ‘ scorched earth ’ approach to health,healthcare,7,450,False,scorch,VERB
14,approach,LABEL_0,0,1,0.9992669224739076,a ‘ scorched earth ’ approach to health reform ” .,healthcare,7,453,False,approach,NOUN
13,sticking,LABEL_0,0,1,0.9991451501846312,in place ‘ workarounds and sticking plasters ’ to bypass the,healthcare,8,472,False,stick,VERB
3,liberating,LABEL_0,0,1,0.9991451501846312,"“ Rather than liberating the NHS , as promised",healthcare,9,484,False,liberate,VERB
17,imprisoned,LABEL_0,0,1,0.9993652701377868,and Social Care Act 2012 imprisoned more than a million NHS,healthcare,9,498,False,imprison,VERB
26,broken,LABEL_0,0,1,0.9987608194351196,million NHS staff in a broken system for the best part,healthcare,9,507,False,break,VERB
6,felt,LABEL_0,0,1,0.9932651519775392,the effects … are still felt to this day . ”,healthcare,10,524,False,feel,VERB
14,dissolving,LABEL_0,0,1,0.9956421256065368,billions of pounds wasted on dissolving and reconstituting management structures had,healthcare,11,544,False,dissolve,VERB
18,structures,LABEL_0,0,1,0.9972636103630066,on dissolving and reconstituting management structures had instead been invested in,healthcare,11,548,False,structure,NOUN
37,mess,LABEL_0,0,1,0.9991417527198792,would not be in the mess it finds itself in today,healthcare,11,567,False,mess,NOUN
39,finds,LABEL_0,0,1,0.9960351586341858,be in the mess it finds itself in today .,healthcare,11,569,False,find,VERB
27,hit,LABEL_0,0,1,0.999270498752594,not know that the pandemic hit the NHS harder than any,healthcare,12,601,False,hit,VERB
30,harder,LABEL_0,0,1,0.9936262965202332,the pandemic hit the NHS harder than any other comparable healthcare,healthcare,12,604,False,hard,ADV
3,far,LABEL_0,0,1,0.9966586828231812,The NHS cancelled far more operations and routine care,healthcare,13,618,False,far,ADV
5,impact,LABEL_0,0,1,0.9989586472511292,“ The pandemic ’ s impact was magnified because the NHS,healthcare,14,638,False,impact,NOUN
14,weakened,LABEL_0,0,1,0.9986863732337952,the NHS had been seriously weakened in the decade preceding its,healthcare,14,647,False,weaken,VERB
3,sits,LABEL_0,0,1,0.999580442905426,Fourthly — this sits firmly at Opposition Members ’,healthcare,15,659,False,sit,VERB
4,firmly,LABEL_0,0,1,0.9938223958015442,Fourthly — this sits firmly at Opposition Members ’ door,healthcare,15,660,False,firmly,ADV
48,lead,LABEL_0,0,1,0.993139147758484,in hospitals . Did it lead to better outcomes for patients,healthcare,15,704,False,lead,VERB
71,fall,LABEL_0,0,1,0.9919195175170898,has instead seen a huge fall in productivity . We paid,healthcare,15,727,False,fall,NOUN
87,resources,LABEL_0,0,1,0.997526228427887,— a deplorable waste of resources when so many parts of,healthcare,15,743,False,resource,NOUN
99,crying,LABEL_0,0,1,0.997569501399994,health and care services were crying out for investment . As,healthcare,15,755,False,cry,VERB
15,dealing,LABEL_0,0,1,0.9970545172691344,beds for their patients and dealing with outdated IT when they,healthcare,17,797,False,deal,VERB
36,drove,LABEL_0,0,1,0.9997499585151672,"last Labour Government , which drove better performance and better care",healthcare,18,845,False,drive,VERB
89,highest,LABEL_0,0,1,0.9972036480903624,the shortest waiting times and highest patient satisfaction in history to,healthcare,18,898,False,high,ADJ
96,broken,LABEL_0,0,1,0.9991472363471984,satisfaction in history to the broken NHS that we see today,healthcare,18,905,False,break,VERB
16,prescription,LABEL_0,0,1,0.998554229736328,"to us to write the prescription , and we have three",healthcare,19,928,False,prescription,NOUN
39,collapse,LABEL_0,0,1,0.9988804459571838,and allow the NHS to collapse . That is the path,healthcare,19,951,False,collapse,VERB
44,path,LABEL_0,0,1,0.9986951351165771,collapse . That is the path on which they set the,healthcare,19,956,False,path,NOUN
54,path,LABEL_0,0,1,0.9980908036231996,"the NHS , and the path that it is on today",healthcare,19,966,False,path,NOUN
75,pour,LABEL_0,0,1,0.9994651079177856,on the left demand — pour ever - increasing amounts of,healthcare,19,987,False,pour,VERB
114,path,LABEL_0,0,1,0.9994299411773682,we will not take that path . This Government are making,healthcare,19,1026,False,path,NOUN
140,crisis,LABEL_0,0,1,0.9901778697967528,"to deal with the immediate crisis by hiring 1 , 000",healthcare,19,1052,False,crisis,NOUN
175,cripple,LABEL_0,0,1,0.9994032979011536,strikes that they allowed to cripple our health service .,healthcare,19,1087,False,cripple,NOUN
60,deliver,LABEL_0,0,1,0.996641993522644,report . Our plan will deliver the three big shifts needed,healthcare,20,1152,False,deliver,VERB
63,big,LABEL_0,0,1,0.99299293756485,plan will deliver the three big shifts needed to make our,healthcare,20,1155,False,big,ADJ
64,shifts,LABEL_0,0,1,0.99264657497406,will deliver the three big shifts needed to make our NHS,healthcare,20,1156,False,shift,NOUN
70,fit,LABEL_0,0,1,0.9979884028434752,needed to make our NHS fit for the future . The,healthcare,20,1162,False,fit,ADJ
126,marrying,LABEL_0,0,1,0.999013602733612,your GP writes . By marrying our country ’ s leading,healthcare,20,1218,False,marry,VERB
57,building,LABEL_0,0,1,0.9982778429985046,back the family doctor and building a national care service that,healthcare,21,1321,False,build,VERB
73,able,LABEL_0,0,1,0.998603343963623,"when we need it , able to meet the challenges of",healthcare,21,1337,False,able,ADJ
77,challenges,LABEL_0,0,1,0.996910572052002,", able to meet the challenges of this century .",healthcare,21,1341,False,challenge,NOUN
19,ducked,LABEL_0,0,1,0.9996798634529114,the decisions that the Conservatives ducked to give our children a,healthcare,22,1365,False,duck,VERB
56,catch,LABEL_0,0,1,0.9996060729026794,", reforming the NHS to catch illness earlier — starting by",healthcare,22,1402,False,catch,VERB
72,delivering,LABEL_0,0,1,0.9987168312072754,and on smartphones — and delivering the Tobacco and Vapes Bill,healthcare,22,1418,False,deliver,VERB
